 public | okp_rparm_id_seq              | последовательность |               |                    | 
 public | okp_rut                       | таблица            |               |                    | 
 public | okp_rut_id_seq                | последовательность |               |                    | 
 public | okp_rut_wpl                   | таблица            |               |                    | 
 public | okp_rut_wpl_id_seq            | последовательность |               |                    | 
 public | okp_rzp                       | таблица            |               |                    | 
 public | okp_rzp_data                  | таблица            |               |                    | 
 public | okp_rzp_data_id_seq           | последовательность |               |                    | 
 public | okp_rzp_id_seq                | последовательность |               |                    | 
 public | okp_rzp_pot                   | таблица            |               |                    | 
 public | okp_rzp_trn                   | таблица            |               |                    | 
 public | okp_rzp_trn_data              | таблица            |               |                    | 
 public | okp_rzp_trn_data_id_seq       | последовательность |               |                    | 
 public | okp_rzp_trn_id_seq            | последовательность |               |                    | 
 public | okp_sdt                       | таблица            |               |                    | 
 public | okp_sdt_elem                  | таблица            |               |                    | 
 public | okp_sdt_elem_id_seq           | последовательность |               |                    | 
 public | okp_sdt_fio                   | таблица            |               |                    | 
 public | okp_sdt_fio_id_seq            | последовательность |               |                    | 
 public | okp_sdt_id_seq                | последовательность |               |                    | 
 public | okp_sdt_log                   | таблица            |               |                    | 
 public | okp_sdt_log_id_seq            | последовательность |               |                    | 
 public | okp_sdt_sreserv               | таблица            |               |                    | 
 public | okp_sdt_sreserv_id_seq        | последовательность |               |                    | 
 public | okp_sdtuop                    | таблица            |               |                    | 
 public | okp_sdtuop_id_seq             | последовательность |               |                    | 
 public | okp_select                    | таблица            |               |                    | 
 public | okp_select_id_seq             | последовательность |               |                    | 
 public | okp_sfield                    | таблица            |               |                    | 
 public | okp_sfield_id_seq             | последовательность |               |                    | 
 public | okp_sfilter                   | таблица            |               |                    | 
 public | okp_sfilter_id_seq            | последовательность |               |                    | 
 public | okp_sls                       | таблица            |               |                    | 
 public | okp_sls_id_seq                | последовательность |               |                    | 
 public | okp_sreserv                   | таблица            |               |                    | 
 public | okp_sreserv_id_seq            | последовательность |               |                    | 
 public | okp_stk                       | таблица            |               |                    | 
 public | okp_stk_rwc_seq               | последовательность |               |                    | 
 public | okp_sup                       | таблица            |               |                    | 
 public | okp_sup_id_seq                | последовательность |               |                    | 
 public | okp_syscolumns                | таблица            |               |                    | 
 public | okp_syscolumns_id_seq         | последовательность |               |                    | 
 public | okp_syscounters               | таблица            |               |                    | 
 public | okp_syscounters_id_seq        | последовательность |               |                    | 
 public | okp_sysfiles                  | таблица            |               |                    | 
 public | okp_sysgrp                    | таблица            |               |                    | 
 public | okp_sysgrp_id_seq             | последовательность |               |                    | 
 public | okp_sysgrp_item               | таблица            |               |                    | 
 public | okp_sysgrp_item_id_seq        | последовательность |               |                    | 
 public | okp_sysjobs                   | таблица            |               |                    | 
 public | okp_sysjobs_id_seq            | последовательность |               |                    | 
 public | okp_sysjobslog                | таблица            |               |                    | 
 public | okp_sysjobslog_id_seq         | последовательность |               |                    | 
 public | okp_sysjobsteps               | таблица            |               |                    | 
 public | okp_sysjobsteps_id_seq        | последовательность |               |                    | 
 public | okp_syslocks                  | таблица            |               |                    | 
 public | okp_syslogins                 | таблица            |               |                    | 
 public | okp_syslogistics              | таблица            |               |                    | 
 public | okp_sysobjects                | таблица            |               |                    | 
 public | okp_sysparameters             | таблица            |               |                    | 
 public | okp_sysprmstruct              | таблица            |               |                    | 
 public | okp_sysprmstruct_id_seq       | последовательность |               |                    | 
 public | okp_sysprop                   | таблица            |               |                    | 
 public | okp_sysprop_id_seq            | последовательность |               |                    | 
 public | okp_syssampletypes            | таблица            |               |                    | 
 public | okp_syssampletypes_id_seq     | последовательность |               |                    | 
 public | okp_sysschedules              | таблица            |               |                    | 
 public | okp_sysschedules_id_seq       | последовательность |               |                    | 
 public | okp_sysstatistics             | таблица            |               |                    | 
 public | okp_sysstatistics_id_seq      | последовательность |               |                    | 
 public | okp_systemproperties          | таблица            |               |                    | 
 public | okp_techdoubles               | таблица            |               |                    | 
 public | okp_techdoubles_rwc_seq       | последовательность |               |                    | 
 public | okp_terminal_usr              | таблица            |               |                    | 
 public | okp_terminal_usr_id_seq       | последовательность |               |                    | 
 public | okp_tfld                      | таблица            |               |                    | 
 public | okp_tfld_id_seq               | последовательность |               |                    | 
 public | okp_tgrp                      | таблица            |               |                    | 
 public | okp_tgrp_data                 | таблица            |               |                    | 
 public | okp_tgrp_data_id_seq          | последовательность |               |                    | 
 public | okp_tgrp_id_seq               | последовательность |               |                    | 
 public | okp_tho                       | таблица            |               |                    | 
 public | okp_tho_id_seq                | последовательность |               |                    | 
 public | okp_tmpl                      | таблица            |               |                    | 
 public | okp_tmpl_id_seq               | последовательность |               |                    | 
 public | okp_tmpl_tfld                 | таблица            |               |                    | 
 public | okp_tmpl_tfld_id_seq          | последовательность |               |                    | 
 public | okp_tmz_type                  | таблица            |               |                    | 
 public | okp_tmz_type_id_seq           | последовательность |               |                    | 
 public | okp_toz                       | таблица            |               |                    | 
 public | okp_toz_rwc_seq               | последовательность |               |                    | 
 public | okp_toz_verifynom             | таблица            |               |                    | 
 public | okp_toz_verifynom_id_seq      | последовательность |               |                    | 
 public | okp_toz_wpl                   | таблица            |               |                    | 
 public | okp_toz_wpl_id_seq            | последовательность |               |                    | 
 public | okp_tpc                       | таблица            |               |                    | 
 public | okp_tpc_id_seq                | последовательность |               |                    | 
 public | okp_tpc_pot                   | таблица            |               |                    | 
 public | okp_tpc_toz                   | таблица            |               |                    | 
 public | okp_tpc_toz_wpl               | таблица            |               |                    | 
 public | okp_tpc_wcrcapacity           | таблица            |               |                    | 
 public | okp_tpcdata                   | таблица            |               |                    | 
 public | okp_tpcdata_id_seq            | последовательность |               |                    | 
 public | okp_tpsample                  | таблица            |               |                    | 
 public | okp_tpsample_id_seq           | последовательность |               |                    | 
 public | okp_tpsampledata              | таблица            |               |                    | 
 public | okp_tpsampledata_id_seq       | последовательность |               |                    | 
 public | okp_tpsampleqty               | таблица            |               |                    | 
 public | okp_tpsampleqty_id_seq        | последовательность |               |                    | 
 public | okp_tpsampleqtydata           | таблица            |               |                    | 
 public | okp_tpsampleqtydata_id_seq    | последовательность |               |                    | 
 public | okp_tpsamplesostav            | таблица            |               |                    | 
 public | okp_trn                       | таблица            |               |                    | 
 public | okp_trn_trn_id_seq            | последовательность |               |                    | 
 public | okp_trndoc                    | таблица            |               |                    | 
 public | okp_trndoc_id_seq             | последовательность |               |                    | 
 public | okp_trngrp                    | таблица            |               |                    | 
 public | okp_trngrp_id_seq             | последовательность |               |                    | 
 public | okp_tso                       | таблица            |               |                    | 
 public | okp_tso_id_seq                | последовательность |               |                    | 
 public | okp_ubr                       | таблица            |               |                    | 
 public | okp_ubr_n_act_seq             | последовательность |               |                    | 
 public | okp_ubrdep                    | таблица            |               |                    | 
 public | okp_ubrdep_id_seq             | последовательность |               |                    | 
 public | okp_ubrnums                   | таблица            |               |                    | 
 public | okp_ubrnums_id_seq            | последовательность |               |                    | 
 public | okp_uid_id                    | таблица            |               |                    | 
 public | okp_uid_id_id_seq             | последовательность |               |                    | 
 public | okp_ukim                      | таблица            |               |                    | 
 public | okp_ukim_id_seq               | последовательность |               |                    | 
 public | okp_unioncpl                  | таблица            |               |                    | 
 public | okp_unioncpl_id_seq           | последовательность |               |                    | 
 public | okp_unom                      | таблица            |               |                    | 
